,Recipe_title,servings,ingredients,stars,Num_of_reviews
34,Sour Cream Coffee Cake,8 to 10 servings,"['12 tablespoons (1 1/2 sticks) unsalted butter at room temperature', '1 1/2 cups granulated sugar', '3 extra-large eggs at room temperature', '1 1/2 teaspoons pure vanilla extract', '1 1/4 cups sour cream', '2 1/2 cups cake flour (not self-rising)', '2 teaspoons baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon kosher salt', '1/4 cup light brown sugar, packed', '1/2 cup all-purpose flour', '1 1/2 teaspoons ground cinnamon', '1/4 teaspoon kosher salt', '3 tablespoons cold unsalted butter, cut into pieces', '3/4 cup chopped walnuts, optional', ""1/2 cup confectioners' sugar"", '2 tablespoons real maple syrup']",5,520
35,Peach Cobbler Dump Cake,6 to 8 servings,"['Nonstick cooking spray', 'Two 15-ounce cans sliced peaches\\xa0', '1 teaspoon cinnamon\\xa0', 'Kosher salt\\xa0', 'Two 8.5-ounce boxes corn muffin mix, such as Jiffy\\xa0', '3 tablespoons light-brown sugar\\xa0', '\\xa01 1/2 sticks (3/4 cup) unsalted butter, diced and chilled\\xa0\\xa0', '1/2 cup toasted pecans, chopped\\xa0', 'Vanilla ice cream, for serving\\xa0']",4.5,4
36,Cinnamon Vanilla Wedding Cake with Mexican Hot Chocolate Buttercream,1 (2 layer) cake,"['500 milliliters egg whites', '800 grams granulated sugar', '900 grams unsalted butter, room temperature', '250 grams white chocolate, melted and cooled', '250 grams dark chocolate, melted and cooled', '2 teaspoons ground cinnamon', '2 teaspoons sweet ancho chile pepper', '1 teaspoon cayenne pepper', '2 teaspoons vanilla extract', '2 sticks butter', '2 cups sugar', '4 large eggs', '3 cups sifted all-purpose flour', '1 1/2 teaspoons baking powder', '2 teaspoons ground cinnamon', '1/2 teaspoon salt', '1 cup whole milk', '1 1/2 teaspoons vanilla extract']",4.5,44
37,Vanilla Malted Ice Cream Cake,12 servings,"['1 12-ounce store-bought angel food cake', '1 1/2 cups cold heavy cream', '1/4 cup plus 2 tablespoons malted milk powder', 'Cooking spray', '1 1/2 quarts vanilla ice cream, softened', 'White sprinkles, for topping (optional)']",5,4
38,Blueberry Coffee Cake Muffins,16 muffins,"['12 tablespoons (1 1/2 sticks) unsalted butter, at room temperature', '1 1/2 cups sugar', '3 extra-large eggs, at room temperature', '1 1/2 teaspoons pure vanilla extract', '8 ounces (about 1 cup) sour cream', '1/4 cup milk', '2 1/2 cups all-purpose flour', '2 teaspoons baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon kosher salt', '2 half-pints fresh blueberries, picked through for stems']",5,672
39,Berry Dump Cake,6 servings,"['Nonstick cooking spray, for the baking dish', ""4 cups mixed berries (See Cook\\'s Note)\\xa0"", '1/4 cup sugar\\xa0', '2 tablespoons cornstarch\\xa0', '1 tablespoon fresh lemon juice\\xa0', '1 teaspoon vanilla extract\\xa0', 'One 15.25-ounce box vanilla cake mix\\xa0', '8 tablespoons unsalted butter, cut into cubes\\xa0', 'Vanilla ice cream, for serving\\xa0']",4,8
40,Cake Pops,46 cake pops,"['One 15.25-ounce box yellow cake mix, plus required ingredients', '1 cup vanilla frosting, plus more as needed\\xa0', '20 ounces white candy melting wafers\\xa0', 'Sprinkles or cookie crumbles, for decorating, optional\\xa0']",5,12
41,Simple Vanilla Buttercream Frosting,about 2 cups frosting,"['6 ounces unsalted butter, room temperature', '2 ounces shortening', '1 whole egg, room temperature', ""1 pound confectioners\\' sugar"", '1 teaspoon vanilla extract']",5,7
42,Chocolate Pound Cake,12 servings,"['1 cup (2 sticks) butter, room temperature, plus more for greasing the pan', '3 cups all-purpose flour\\xa0', '1/2 teaspoon baking powder\\xa0', '1/2 teaspoon salt\\xa0', '1/2 cup cocoa\\xa0', '1/2 cup vegetable shortening', '3 cups sugar\\xa0', '5 large eggs, room temperature\\xa0', '1 cup milk\\xa0', '2 teaspoons vanilla extract\\xa0', 'Vanilla ice cream, for serving\\xa0']",4.5,45
43,Blueberry Pancake Cake,4 to 6 servings,"['2 cups all-purpose flour', '1/2 cup light brown sugar\xa0', '2 teaspoons baking powder\xa0', '1 teaspoon kosher salt\xa0', '2 cups blueberries\xa0', '2 cups buttermilk\xa0', '1 teaspoon vanilla extract\xa0', '2 large eggs, lightly beaten\xa0', '3 tablespoons vegetable oil\xa0', '2 tablespoons unsalted butter\xa0', '1 cup light corn syrup', '1 tablespoon vanilla extract\xa0', 'Pinch of ground cinnamon\xa0']",5,12
44,Vanilla Bean Buttermilk Cake,10 to 12 servings,"['2 cups sugar', '2 sticks (1 cup) unsalted butter', '4 eggs, room temperature', '3 vanilla beans', '1 1/2 teaspoons baking powder', '1/2 teaspoon baking soda', '3/4 teaspoon sea salt', '3 cups all-purpose flour', '1 1/2 cups buttermilk', '2 cups sugar', '2 tablespoons butter', '1 cup heavy cream', '1/2 teaspoon sea salt']",5,3
45,Cream Cheese Frosting for Red Velvet Cake,about 3 cups,"['13 1/2 ounces powdered sugar', '12 ounces cream cheese, room temperature', '3 ounces unsalted butter, room temperature', '1 1/2 teaspoons vanilla extract', 'Pinch kosher salt']",5,20
46,Tres Leche Cake,1 (13 by 9-inch) cake,"['Vegetable oil', '6 3/4 ounces cake flour, plus extra for pan', '1 teaspoon baking powder', '1/2 teaspoon kosher salt', '4 ounces unsalted butter, room temperature', '8 ounces sugar', '5 whole eggs', '1 1/2 teaspoons vanilla extract', '1 (12-ounce) can evaporated milk', '1 (14-ounce) can sweetened condensed milk', '1 cup half-and-half', '2 cups heavy cream', '8 ounces sugar', '1 teaspoon vanilla extract']",4.5,414
