,Recipe_title,servings,ingredients,stars,Num_of_reviews
1138,Banana Split Ice Cream Cake,10 to 12 servings,"['1 pint vanilla ice cream', '1 chocolate pound cake\\xa0', '1 banana, thinly sliced\\xa0', '3 tablespoons chopped peanuts\\xa0', '1/2 cup thinly sliced strawberries\\xa0', 'For serving: hot fudge, whipped cream and maraschino cherries']",,
1139,Yellow Cakes in a Jar with Chocolate Ganache,4 servings,"['1 stick butter, softened', '1/2 cup sugar', '2 eggs', '1 teaspoon vanilla extract', '1 cup all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon salt', '1/4 cup half-and-half', 'Vegetable nonstick spray', '1/4 cup half-and-half', '1/2 cup chocolate chips']",4.5,8
1140,King's Cake,2 King's cakes,"['1 stick butter', '2/3 cup milk', '1/2 cup sugar', '2 teaspoons salt', '4 teaspoons dry yeast', '1/3 cup warm water', '4 eggs', '6 cups all-purpose flour\xa0', '8 ounces cream cheese, room temperature', 'Pinch salt', ""1 cup sugar (confectioners' variety preferred)"", '5 tablespoons all-purpose flour', '1 lemon, juiced', '1/8 teaspoon vanilla', '2 eggs', '1 can cherry pie filling', '1 can blueberry pie filling', '2 plastic babies', 'Glaze, recipe follows', 'Colored sugar, recipe follows', ""\xa02 cups sugar, confectioners' variety preferred"", '\xa01/4 cup butter, softened\xa0', 'Yellow food coloring (Power)', '\xa0Purple food coloring (Justice)', '\xa0Green food coloring (Faith)', '\xa01 1/2 cups sugar', '\xa0Yellow food coloring (Power)', '\xa0Purple food coloring (Justice)', '\xa0Green food coloring (Faith)']",4,7
1141,Lemon-Ginger Molasses Cake with Whipped Cream,8 servings,"['1/4 pound (1 stick) unsalted butter, at room temperature', '1/2 cup light brown sugar, lightly packed', '2 extra-large eggs, at room temperature', '1/2 cup unsulphured molasses', '2 teaspoons grated lemon zest, plus extra for serving', '1 1/2 cups all-purpose flour', '2 teaspoons ground ginger', '1/2 teaspoon baking soda', '1/2 teaspoon kosher salt', '1/2 cup whole milk', '1/3 cup small-diced crystallized ginger, plus extra for serving', 'Whipped Cream, for serving', '1 1/2 cups cold heavy cream', ""1/4 cup confectioners' sugar"", '2 tablespoons granulated sugar', '2 tablespoons creme fraiche', '1 teaspoon pure vanilla extract']",4,7
1142,Sour Cream Toffee Fudge Cake,1 (10-inch) cake,"['1 pound plus 3 1/2 teaspoons unsalted butter', '2 cups unsweetened cocoa powder', '2 cups hot brewed coffee', '1 cup sour cream', '1 1/2 tablespoons pure vanilla extract', '2 1/2 cups all-purpose flour', '1 1/2 teaspoons baking soda', '1 teaspoon baking powder', '3 1/2 cups sugar', '4 large eggs', 'Chocolate Icing, recipe follows', '1 recipe Butter Toffee, recipe follows', '4 1/2 cups heavy cream', '3 sticks unsalted butter', '1/2 cup plus 2 tablespoons unsweetened cocoa powder', '1/2 cup light corn syrup', '2 pounds semisweet chocolate, chopped into pieces', '1 tablespoon pure vanilla extract', '1 teaspoon almond extract', '8 tablespoons (1 stick) unsalted butter', '1 1/2 cups granulated sugar', '1 packed cup light brown sugar', '3/4 cup plus 2 tablespoons heavy cream', '1/2 teaspoon pure vanilla extract']",5,4
1143,Churro Loaf Cake,6 to 8 servings,"['Nonstick baking spray, for the pan', '15 tablespoons unsalted butter, at room temperature', '2 cups sugar', '1/2 cup buttermilk', '1/3 cup vegetable oil', '3 teaspoons vanilla extract', '4 large eggs, at room temperature', ""2 cups all-purpose flour (see Cook\\'s Note)"", '1 teaspoon baking powder', '1 teaspoon kosher salt', '1/2 teaspoon baking soda', '1 1/2 teaspoons ground cinnamon', '6 ounces semisweet chocolate, finely chopped', '2 tablespoons light corn syrup', '3/4 cup heavy cream']",,
1144,Rolo-Stuffed Banana Poke Cake,10 to 12 servings,"['One 16.5-ounce box prepared vanilla cake mix', '30 chocolate-covered caramels, such as Rolos ®\\xa0', 'One 3.4-ounce box instant banana pudding', '2 cups heavy cream', '1 tablespoon sugar', '1 tablespoon pure vanilla extract', '1/2 cup prepared caramel sauce, plus more for drizzling', '3 bananas, sliced 1/4-inch-thick']",3.5,2
1145,Pancake Pockets,2 servings (4 pancake pockets),"['1 cup plus 1 tablespoon cake flour', '1 tablespoon baking powder\\xa0', '1 tablespoon sugar\\xa0', 'Pinch of kosher salt\\xa0', '2/3 cup milk, plus more for thinning\\xa0', '1 teaspoon vanilla\\xa0', '1 large egg\\xa0', '1 tablespoon butter, plus more for the griddle\\xa0', '1/4 cup chopped strawberries (about 4)\\xa0', '1/4 cup chopped pecans\\xa0', '4 teaspoons cold maple syrup\\xa0']",5,3
1146,Chocolate Birthday Cake,24 servings,"['Nonstick baking spray', '2 cups sugar\xa0', '1 3/4 cups all-purpose flour\xa0', '1 1/2 teaspoon baking powder\xa0', '1 1/2 teaspoon baking soda\xa0', '1 teaspoon salt\xa0', '2 large eggs\xa0', '1/3 cup milk\xa0', '1/2 cup vegetable oil\xa0', '1/3 cup sour cream\xa0', '2 teaspoons vanilla extract\xa0', '3/4 cup cocoa powder\xa0', '1 1/2 cups sugar', '5 large egg whites\xa0', '1/2 teaspoon vanilla extract\xa0', '3 sticks unsalted butter, cut into cubes, at room temperature', 'Pinch of salt\xa0', 'Fresh strawberries, for garnish\xa0', '2 cups heavy whipping cream', '2 pounds semisweet chocolate chips\xa0', '1 tablespoon vanilla extract\xa0']",,
1147,Devil's Food Cake with Chocolate-Sour Cream Frosting,8 to 10 servings,"['12 tablespoons (1 1/2 sticks) unsalted butter, at room temperature, plus more for buttering the pans', '2 cups all-purpose flour', '1 1/2 teaspoons baking soda', '3/4 teaspoon baking powder', '1/2 teaspoon fine salt', '1/4 cup milk', '2 cups plus 2 tablespoons sugar', '3/4 cup unsweetened cocoa powder (not Dutch process)', '2 teaspoons pure vanilla extract', '3 large eggs, at room temperature\\xa0', '1 pound milk chocolate\\xa0chopped\\xa0', '1 pound semisweet chocolate\\xa0chopped\\xa0', 'One 16-ounce container sour cream (2 cups)', '1 tablespoon brewed coffee\\xa0', '1 tablespoon pure vanilla extract']",,
1148,Pull-Apart Graveyard Cupcakes,24 cupcakes,"['3 cups all-purpose flour', '1 tablespoon baking powder', '1 teaspoon kosher salt', '1/2 cup grape jelly', '1 cup granulated sugar', '4 large eggs, at room temperature', '12 ounces (3 sticks) unsalted butter, melted', '2 tablespoons pure vanilla extract', '2/3 cup milk']",4.5,4
1149,Angel Food Cake with Tropical Fruit Compote,8 servings,"['1 cup cake flour', '1 cup sugar', '12 large egg whites (egg whites from large eggs, no yolks in the whites!)', 'Pinch salt', '1 teaspoon cream of tartar', '1/2 teaspoon vanilla extract', '1 lemon, zested', '1 orange, zested', '2 ripe mangoes, 1 peeled and coarsely chopped and 1 peeled and cut into 1/2-inch dice', '1 cup freshly squeezed orange juice, divided', '2 teaspoons sugar, if needed', '1 1/2 cups fresh pineapple, peeled, cored and cut into 1/2-inch dice', '2 kiwis, peeled and cut into 1/2-inch dice', '1 star fruit (carambola), cut into thin star slices', '1 cup halved red seedless grapes', '2 tablespoons chiffonade of mint, for garnish', 'Special Equipment: Angel Food Cake Pan']",5,14
1150,Box of Chocolate Cake,1 large cake plus 24 mini cupcakes,"['Nonstick cooking spray, for the pan', 'Two 15.25-ounce boxes chocolate cake mix (plus required ingredients)', '4 ounces white chocolate, chopped, plus 2 teaspoons white chocolate shavings', '1 batch warm Chocolate Ganache, recipe follows', '9 chocolate-covered espresso beans\xa0', '2 teaspoons cocoa powder\xa0', '3 small red heart-shaped sprinkles or candies\xa0', '4 small pink heart-shaped sprinkles or candies\xa0', '2 teaspoons chopped pistachios', 'One 15.6-ounce container vibrant red vanilla frosting, such as Pillsbury Funfetti Radiant Red Vanilla Frosting', '1 package red icing or frosting sheets, such as Wilton Sugar Sheets\xa0', '1/2 cup heavy cream', '1/2 cup semisweet chocolate chips\xa0', '1 teaspoon corn syrup\xa0']",5,1
1151,Apple Spice Cake with Cream Cheese Icing,6 servings,"['1/2 stick butter, plus extra for loaf pan', '3 Granny Smith apples, peeled and cored, cut into 1/2-inch dice and tossed with a little lemon juice', '1/2 lemon, juiced', '1 cup apple cider', '1 3/4 cups all-purpose flour, plus extra for loaf pan', '1 teaspoon ground cinnamon', '1 teaspoon baking soda', '3 or 4 grates fresh nutmeg (about 1/2 teaspoon)', '3/4 cup brown sugar', '3/4 cup sugar', 'Pinch kosher salt', '1 egg', '1 teaspoon vanilla extract', '1/2 cup toasted and chopped walnuts', '1/2 cup golden raisins', 'Cream Cheese Icing, recipe follows', 'One 8-ounce package cream cheese, at room temperature', '1 stick butter, at room temperature', '1 cup powdered sugar', '1 teaspoon vanilla extract', '1/2 lemon, juiced']",4.5,53
1152,Strawberry Shortcake,6 servings,"['1/2 cup milk', '1/2 cup heavy cream', '1 vanilla bean, or vanilla extract, to taste (approximately 3 tablespoons)', '1/4 cup sugar', '4 egg yolks', '6 eggs, separated', '1/2 cup plus 4 teaspoons sugar', '1 teaspoon vanilla extract', '1 1/8 cups cake flour, sifted', '1/4 teaspoon cream of tartar', '1 cup cold brewed tea', '3 pints strawberries, cleaned', '1/4 cup sugar', '1/2 pint heavy cream', '6 sprigs mint, for garnish']",4,7
1153,Pineapple-Carrot Cake Pie,8 to 10 servings,"['Cooking spray', '1 1/3 cups all-purpose flour', '1/3 cup sugar', '1/3 cup sliced almonds', '1 1/2 cups grated carrots (about 3 medium)', '1 stick cold unsalted butter, cut into pieces', '1 tablespoon molasses', '1 teaspoon ground cinnamon', '1/2 teaspoon ground allspice', '1/2 teaspoon salt', 'For the filling and toppings:', '1 8-ounce can crushed pineapple in juice', '1 8-ounce package cream cheese', '1/2 cup 2% plain Greek yogurt', '1 teaspoon pure vanilla extract', '1/4 teaspoon ground cinnamon', '1/4 teaspoon ground allspice', '1 large egg', '1 tablespoon all-purpose flour', 'Thinly sliced dried pineapple and sliced almonds, for topping']",3.5,2
1154,Ice Cream Cone Cake,12 to 14 servings,"['4 egg whites', '1/2 cup butter', '1 cup sugar', '1/2 teaspoon vanilla extract', '1/2 teaspoon almond extract', '1 lemon, zested finely', '2 cups sifted cake flour', '1 tablespoon baking powder', '2/3 cup milk', '1 cup (2 sticks) unsalted butter, softened at room temperature', '3 cups light brown sugar, packed', '4 eggs', '2 teaspoons pure vanilla extract', '3/4 cup unsweetened cocoa powder', '1 tablespoon baking soda', '1/2 teaspoon salt', '3 cups sifted cake flour', '1 1/3 cups sour cream', '1 1/2 cups hot coffee']",3,2
1155,Mixed Berry Icebox Shortcakes,6 servings,"['2/3 cup heavy cream', '2/3 cup sour cream', '1/4 cup light corn syrup', '1 vanilla bean, split lengthwise and seeds scraped', '1 1/4 cups raspberries', '1 1/4 cups blueberries', '1 1/4 cups chopped strawberries (from about 2 cups whole; cut into pieces about the same size as the raspberries)', '1/4 cup sugar', '6 round shortbread cookies, lightly crushed (about 4.7 ounces)']",,
1156,Lemon Angel Food Cake,NA,"['1 1/8 cups sifted cake flour', '1 1/2 cups sugar', '1 1/2 cups egg whites, at room temperature (about 10 eggs)', '1 1/4 teaspoons cream of tartar', '1/2 teaspoon salt', '1 lemon, grated zest', '1 teaspoon pure vanilla extract', '5 tablespoons freshly squeezed lemon juice', '1 1/2 cups powdered sugar', '2 large lemons', '1 cups sugar', '2 cups water']",4.5,3
1157,Strawberry Shortcake,10 servings,"['Buttermilk Biscuits', '3 cups flour', '4 teaspoons baking powder', '1 teaspoon baking soda', '1/3 cup sugar', '1 1/2 teaspoons salt', '3/4 cup (1 1/2 sticks) cold unsalted butter, cut into small pieces or grated', '1 cup buttermilk', '2 tablespoons heavy cream', '1/4 cup turbinado sugar', 'Strawberry Filling', '8 cups strawberries (about 2 pounds), rinsed, stemmed, and sliced', '1/4 cup sugar', '1 tablespoon fresh lemon juice', 'Whipped Cream', '2 cups heavy whipping cream', '1 tablespoon sugar', '1 teaspoon vanilla extract']",5,1
1158,Mini-Wedding Cakes,1 cake,"['2 1/2 cups sugar', '16 ounces marzipan', '20 ounces (5 sticks) unsalted butter, slightly softened', '2 teaspoons vanilla extract', '12 eggs', '2 1/2 cups flour', '3 teaspoons baking powder', '1 teaspoon salt', '1 teaspoon ground ginger', ""Confectioners' sugar for rolling fondant"", 'Butter cream, recipe follows', '2 pounds fondant\xa0', 'Red, blue and yellow food coloring', 'Royal icing, recipe follows', '7 cups sugar', '2 cups water', '24 egg yolks', '4 pounds (16 sticks) unsalted butter, softened', '2 cups powdered sugar', '3 to 4 tablespoons egg whites*']",5,3
1159,Stella's Stellar Apple Spice Cake,12 servings,"['1 cup chopped dates or whole raisins (dark or golden)', '2 cups all-purpose flour', '3 eggs', '1 1/2 cups sugar', '1 cup vegetable oil', '1 teaspoon salt', '1 teaspoon baking soda', '1 teaspoon cinnamon', '1/2 teaspoon ground cloves', '1/2 teaspoon ground allspice', '1 teaspoon pure vanilla extract', '2 cups apples, peeled, cored, and cut into 1/2-inch chunks', '1 cup chopped walnuts', 'Glaze, recipe follows', '1/2 cup maple syrup', '1 1/2 cups powdered sugar']",4,9
1160,Sour Cream Coffee Cake with Peach Preserves and Lemon Glaze,8 servings,"['3/4 cup all-purpose flour', '2/3 cup packed light brown sugar', '1 teaspoon ground cinnamon', 'Pinch of fine salt', '5 tablespoons unsalted butter, at room temperature', '1 stick (8 tablespoons) unsalted butter, at room temperature, plus more, for the pan', '2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon fine salt', '1 cup granulated sugar', '2 large eggs', '2 teaspoons vanilla extract', '1 cup sour cream', '2/3 cup peach preserves', ""3/4 cup confectioners' sugar"", '2 tablespoons fresh lemon juice, plus 1 teaspoon finely grated lemon zest']",,
1161,Rainbow Cupcakes,12 cupcakes,"['1 3/4 cups cake flour', '1 teaspoon baking powder', '1/4 teaspoon baking soda', '1/2 teaspoon salt', '2/3 cup whole milk, at room temperature', 'Finely grated zest of 1 lemon plus juice of 1/2 lemon', '1 teaspoon pure vanilla extract', '1 1/2 sticks (12 tablespoons) unsalted butter, at room temperature', '1 cup sugar', '3 large egg whites, at room temperature', 'Red, orange, yellow, green, blue and purple gel food coloring', '2/3 cup sugar', '2 large egg whites, at room temperature', '1/4 cup cold water', '1 teaspoon pure vanilla extract', '1/2 teaspoon cream of tartar', 'Pinch of salt']",5,10
1162,Pineapple Cake Truffles,10 truffles,"['One 11.5-ounce all-butter pound cake', '1/2 cup unsweetened finely shredded coconut flakes\\xa0', '1/3 cup vanilla frosting\\xa0', '2 tablespoons pineapple juice\\xa0', '1/2 teaspoon coconut extract\\xa0', '16 ounces yellow candy melting wafers\\xa0', '6 teaspoons coconut oil\\xa0', '5 mini green pull-and-peel licorice twists, such as Twizzlers\\xa0']",,
1163,Banana Honey Cake,NA,"['2 cups water', '1/4 cup mashed bananas', '1/8 teaspoon vanilla', '1 cup diced banana', '1 egg', '2 tablespoons honey', '3 cups whole wheat flour', '1/2 tablespoon baking powder', '12 ounces fat-free cream cheese', '3 teaspoons carob powder', '1 teaspoon vanilla', '12 ounces fat-free cream cheese', '1 teaspoon beet powder', '1 teaspoon vanilla']",3,5
1164,Creepy Cookie Cake,10 servings,"['1 (8-ounce) package cream cheese, softened to room temperature', '1/2 cup sugar', '1 cup sour cream', '1 teaspoon vanilla extract', '1 (8-ounce) container whipped topping (recommended: Cool Whip)', '1 1/2 cups crushed chocolate sandwich cookies plus 10 whole cookies (recommended: Oreo)', '1 (9-inch) chocolate pie crust']",4,16
1165,PECAN PIE FILLING,16 to 20 servings,"['6 eggs', '1/2 cup sugar', '1/2 cup flour', '4 cups dark corn syrup', '1 1/2 teaspoons pure vanilla extract', '1/2 teaspoon kosher salt', '2 cups chopped pecans', 'Pie Crust, recipe follows', '1 cup unsalted butter', '1 cup solid vegetable shortening', '4 cups cake flour', '2 cups all-purpose flour', '1/2 cup sugar', '3 teaspoons kosher salt', '1/4 to 1/2 cup cold water']",3.5,4
1166,Easter Lamb Cake,12 servings,"['Butter, for greasing the cake pans', '3 cups all-purpose flour', '2 cups granulated sugar', '1/2 cup nonfat dry milk', '1 tablespoon baking powder', '1 cup vegetable oil', '1 cup sour cream', '1 1/2 teaspoons vanilla extract', '4 large eggs', 'One 3.4-ounce package instant vanilla pudding', '1/2 cup warm water']",,
1167,Mini Banana Split Icebox Cakes,2 servings,"['1/2 cup diced strawberries, plus sliced strawberries for topping', '1/2 cup chilled heavy cream', ""3 tablespoons confectioners\\' sugar"", '1/4 teaspoon vanilla extract', '12 chocolate wafer cookies', '1/2 small banana, sliced', 'Chocolate syrup or sauce, for topping', '2 tablespoons chopped toasted peanuts, for topping (optional)', '2 maraschino cherries, for topping (optional)']",5,1
1168,Chocolate-Pecan Coffee Cake,8,"['3/4 cup all-purpose flour', '1/2 cup finely chopped pecans', '2/3 cup light brown sugar', '3 tablespoons chopped semisweet chocolate', 'Pinch of fine salt', '5 tablespoons unsalted butter, at room temperature', '1 stick (8 tablespoons) unsalted butter, at room temperature, plus more, for the pan', '2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon fine salt', '1 cup granulated sugar', '2 large eggs', '2 teaspoons vanilla extract', '1 cup sour cream', '1 cup finely chopped semisweet chocolate', '1/2 cup chopped finely pecans']",,
1169,Stuffed Candy Corn Cake,12 servings,"['12 tablespoons (1 1/2 sticks) unsalted butter, at room temperature, plus more for buttering the pans', ""2 1/2 cups all-purpose flour (see Cook's Note)"", '1 tablespoon baking powder', '1/2 teaspoon fine salt', '1 cup whole milk, at room temperature', '1 tablespoon vanilla extract', '3 large eggs plus 1 large egg yolk, at room temperature', '1 1/2 cups granulated sugar']",4,2
1170,Melting Ice Cream Cone Cake,1 melting ice cream cone cake,"['3 6-inch round cakes, cooled', '6 cups vanilla buttercream', 'Red and white gel food coloring\\xa0', '1/3 cup heavy cream', '1 1/2 cups white chocolate chips', '1 ice cream cone', 'Assorted sprinkles']",,
1171,Frosted Animal Cracker Carousel Cake,20 to 24 servings,"['Nonstick cooking spray, for the pans and parchment', 'Two 15.25-ounce boxes yellow cake mix', 'Two 3.4-ounce packages instant vanilla pudding mix\xa0', '1 cup vegetable oil', '8 large egg whites', '2 1/4 cups sugar', '2 tablespoons lemon juice\xa0', 'Pinch of fine salt', '12 large egg whites', '9 sticks (2 1/4 pounds) unsalted butter, cut into 1 1/2-inch chunks, at room temperature\xa0', '1 tablespoon pure vanilla extract', 'Deep pink, royal blue and neon brite green gel food coloring, for decorating', '1/3 cup white candy melting wafers, melted', 'One 13-ounce bag frosted animal crackers', 'Two 2.47-ounce boxes chocolate-covered biscuit sticks, such as Pocky', 'Multicolored nonpareil sprinkles, for decorating\xa0', 'Two 2.47-ounce boxes strawberry cream-covered biscuit sticks, such as Pocky', '1 large pink gumdrop', '3 cake doughnuts\xa0']",,
1172,Carrot Cake with Ginger Mascarpone Frosting,8 to 10 servings,"['2 cups sugar', '1 1/3 cups vegetable oil', '3 extra-large eggs, at room temperature\xa0', '1 teaspoon pure vanilla extract', '2 cups plus 1 tablespoon all-purpose flour', '2 teaspoons ground cinnamon', '2 teaspoons baking soda', '1 1/2 teaspoons kosher salt', '1 pound carrots, grated by hand on a box grater', '1 cup raisins\xa0', '1 cup chopped walnuts', 'Ginger Mascarpone Frosting (recipe follows)', 'Crystallized ginger (not in syrup), chopped, for garnish', '12 ounces Italian mascarpone cheese, at room temperature', '4 ounces cream cheese, at room temperature', ""2 cups sifted confectioners' sugar"", '2 tablespoons heavy cream', '1/2 teaspoon pure vanilla extract', '1/3 cup minced crystallized ginger (not in syrup)', '1/4 teaspoon kosher salt']",5,1
1173,Ultra-Delish Low-Fat Chocolate Cake,8 servings,"['1 cup cake flour', '3/4 cup sugar', '1/2 cup cocoa', '1 teaspoon baking soda', '1/2 teaspoon baking powder', 'Pinch salt', '2 tablespoons applesauce', '1/2 cup 2 percent lowfat milk', '1 teaspoon vanilla', '1 tablespoon instant decaffeinated coffee', '2 (2 1/2-ounce) jars prune baby food', '1-ounce semisweet chocolate chips, melted', '2 teaspoons almond extract', '2 egg whites']",4,1
1174,Apple-Cinnamon-Walnut Skillet Cake,8 servings,"['1/2 cup high-oleic sunflower oil or canola oil, plus extra for the pan', '1 cup brown rice or sorghum flour', '1 cup buckwheat flour', '1 tablespoon plus 1 teaspoon baking powder', '1 tablespoon plus 1 teaspoon flax meal', '2 teaspoons ground cinnamon\\xa0', '1/2 teaspoon baking soda', '1/4 teaspoon salt', '1/2 cup pure maple syrup', '1/3 cup sparkling water or unsweetened dairy-free milk', '1 teaspoon pure vanilla extract', '2 large apples\\xa0', '1 cup chopped walnuts']",,
1175,Berry Lemonade,4 to 6 servings,"['1 (12-ounce) bag unsweetened frozen mixed berries, thawed', '1 (12-ounce) can frozen lemonade concentrate, thawed', '1 cup vanilla simple syrup, recipe follows', '3 cups water', 'Ice', 'In a blender, combine the berries, lemonade concentrate and syrup. Blend until smooth. Pour the mixture into a large pitcher. Add the water and stir, then refrigerate for at least 1 hour. Pour the lemonade into ice-filled glasses and serve.', '1/2 cup sugar', '1 cup water', '1 vanilla bean, cut in half lengthwise, seeds removed, pod reserved']",4.5,23
1176,Red Velvet Cone Cakes,12 servings,"['12 flat-bottomed wafer ice cream cones', '1 1/4 cups all-purpose flour', '1/4 cup cocoa powder', '1 teaspoon baking soda', '1 teaspoon baking powder', '1/2 teaspoon table salt', '1 stick unsalted butter, softened', '3/4 cup sugar', '2 eggs', '1/3 cup vegetable oil', '1/2 cup well shaken buttermilk', '2 teaspoons white vinegar', '1 teaspoon vanilla extract', '1 tablespoon red food coloring', '8 ounces cream cheese, room temperature', '1 stick unsalted butter, room temperature', '2 teaspoons vanilla extract', ""4 cups confectioners' sugar""]",4.5,45
1177,Carrot Cake Granola,about 4 cups,"['4 tablespoons unsalted butter, melted', '3 tablespoons packed light brown sugar', '3 tablespoons pure maple syrup', '1 teaspoon pure vanilla extract', '1/2 teaspoon ground cinnamon', '1/2 teaspoon kosher salt', '1 3/4 cups old-fashioned rolled oats', '2 large carrots, shredded and squeezed dry', '1 cup walnuts, chopped', '1/2 cup yogurt-covered raisins', '1/3 cup chopped dried pineapple']",5,1
1178,Red Velvet Bourbon Cheesecake Bars,12 bars,"['Cooking spray', '1 1/4 cups all-purpose flour', '3/4 cup granulated sugar', '1/4 teaspoon baking soda', '1/4 teaspoon fine salt', '1 tablespoon unsweetened cocoa powder', '1/2 cup milk', '1 tablespoon white distilled vinegar', '2/3 cup vegetable oil', '1 large egg', '1/2 teaspoon pure vanilla extract', '1 tablespoon red food coloring', 'Cheesecake:', 'One 1/4-ounce packet unflavored powdered gelatin', '1/2 cup granulated sugar', '2 tablespoons light corn syrup', '1/2 cup heavy cream', '3 tablespoons bourbon or 1 tablespoon pure vanilla extract', 'Two 8-ounce packages cream cheese, at room temperature', '3/4 cup sour cream', ""1 1/2 cups confectioners\\' sugar"", 'Whipped Cream:', '1 cup heavy cream', ""3 tablespoons confectioners\\' sugar""]",5,1
1179,Stars-and-Stripes Cake,10 to 12 servings,"['1 1/4 cups cake flour', '1 tablespoon Dutch-process unsweetened cocoa powder', '1/2 teaspoon baking powder', '8 large eggs, separated', '1/2 teaspoon cream of tartar', '1/2 teaspoon salt', '1 cup granulated sugar', '1 teaspoon pure vanilla extract', '1/2 cup water', '1/3 cup canola oil', '1 tablespoon red gel food coloring', ""Confectioners' sugar, for dusting"", '3 8-ounce packages cream cheese, at room temperature', ""1 1/2 cups confectioners' sugar"", '1 teaspoon pure vanilla extract', '3 cups cold heavy cream', 'Blue sanding sugar, for decorating']",4,2
1180,Raspberry Ganache Fudge Cake,12 to 16 servings,"['3 cups sugar', '3 cups all-purpose flour', '1 1/4 cups cocoa', '1 teaspoons baking soda', '1 teaspoon baking powder', '1 teaspoon salt', '3 eggs', '1 cup vegetable oil', '1 cup buttermilk', '1 cup hot water', '1 tablespoon vanilla', '1 1/2 pounds milk chocolate, chopped and melted', '1 cup heavy whipping cream', '1 cup raspberry jam', '1 teaspoon raspberry flavoring, optional', '1 pound milk chocolate, chopped and melted', '2/3 cup heavy whipping cream', 'Fresh raspberries, chocolate curls and powdered sugar, for garnish']",4.5,11
1181,Glazed Coffee Cake with Sour Cherry Preserves,8,"['3/4 cup all-purpose flour', '2/3 cup packed light brown sugar', '1 teaspoon ground cinnamon', 'Pinch of fine salt', '5 tablespoons unsalted butter, at room temperature', '1 stick (8 tablespoons) unsalted butter, at room temperature, plus more, for the pan', '2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon fine salt', '1 cup granulated sugar', '2 large eggs', '2 teaspoons vanilla extract', '1 cup sour cream', '2/3 cup sour cherry preserves', ""3/4 cup confectioners' sugar"", '2 tablespoons milk']",5,1
1182,Chocolate Fudge and Golden Layer Cake,12 to 16 servings,"['3 cups sifted cake flour', '1 tablespoon baking powder', '1/2 teaspoon salt', '8 ounces (2 sticks) unsalted butter, softened at room temperature', '2 cups sugar', '4 eggs', '1 teaspoon pure vanilla extract', '1 teaspoon pure almond extract', '1 cup milk (whole, 2 percent fat, or 1 percent fat)', '12 tablespoons butter', ""6 cups confectioners' sugar"", '6 ounces (3 squares) unsweetened chocolate, melted', '1 tablespoons vanilla', '1/3cup milk']",3.5,3
1183,Rich and Velvety Custard Pie - 2003 1st Place Custard,8 to 10 servings,"['2 cups all-purpose flour', '1 cup cake flour', '1 cup solid shortening (recommended: Crisco)', '2 tablespoons powdered butter flavoring', '1/2 teaspoon salt', '1 egg', '1 tablespoon cider vinegar', '1/3 cup ice water', '1 egg white', '3 eggs', '3/4 cup sugar', '1/2 teaspoon salt', '2 cups whole milk', '1 cup half-and-half', '1 tablespoon real vanilla extract', '1/2 teaspoon fresh grated nutmeg']",5,2
1184,Madeleine Wreath with Sour Cherry Mousse,12 to 15 servings,"['Nonstick cooking spray', '2 cups flour, plus more for dusting', '4 eggs', '1 1/3 cups granulated sugar', '1 1/2 teaspoons lemon zest', '1 1/2 teaspoons vanilla extract', '1/4 teaspoon salt', '2 1/2 sticks (1 1/4 cups) butter, melted', '1/2 teaspoon green gel food coloring, plus more if needed', 'Two 8-ounce packages cream cheese, at room temperature', ""3/4 cup confectioners' sugar, plus more for garnish"", '1/2 cup sour cherries packed in syrup, chopped, plus 6 tablespoons syrup', '1 teaspoon kirsch, optional', '1/2 teaspoon vanilla extract', '1 cup heavy cream', 'Maraschino cherries, for decorating\xa0', 'Red modeling chocolate, for decorating']",,
1185,Bourbon-Glazed Peach Coffee Cake with Almond Crumbs,8,"['3/4 cup all-purpose flour', '2/3 cup packed light brown sugar', '1/2 cup finely chopped almonds', '1 teaspoon ground cinnamon', 'Pinch of fine salt', '5 tablespoons unsalted butter, at room temperature', '1 stick (8 tablespoons) unsalted butter, at room temperature, plus more for the pan', '2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon fine salt', '1 cup granulated sugar', '2 large eggs', '2 teaspoons vanilla extract', '1 cup sour cream', '2/3 cup peach preserves', ""3/4 cup confectioners' sugar"", '2 tablespoons bourbon']",,
1186,Winter Hat Cake,16 servings,"['Two 15-ounce boxes chocolate cake mix plus required ingredients', 'Four 16-ounce containers store-bought vanilla frosting (8 cups)', 'Blue gel food coloring, for the frosting\\xa0', ""2 cups white and blue candy-coated chocolates, such as M&amp;M\\'s"", '7 ounces sweetened shredded coconut']",,
1187,Sour Cream Waffles,4 servings (about 8 waffles),"['2 cups cake flour', '1 1/2 teaspoons baking powder', '3/4 teaspoon baking soda', '3/4 teaspoon salt', '3/4 cup sour cream', '2 large eggs, separated', '3/4 cup milk', '1 teaspoon vanilla extract', '1 stick unsalted butter, melted, plus more for the waffle iron', '1/4 cup vegetable shortening, melted', '2 tablespoons packed dark brown sugar', 'Maple syrup, for topping']",5,1
